persona,user_id,parent_asin,average_rating,title,text
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B08N57C9ZR,4,Lovely under eye cream,"This under eye cream comes in a cute little container that looks fantastic. It has retiniol in it that really is great for your skin as well as hyaluronic acid, both that should help with wrinkles. Just a reminder, products with retinol make you more sensitive to sun light so make sure you use sun blockers when using these kinds of products.<br /><br />The cream is lightweight and absorbs quickly into the skin. It leaves no residue behind and your skin just feels soft and smooth. The cream has a lovely fragrance that I really like.<br /><br />All in all this is a great find."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B08DX6B4QN,3,"Sadly underwhelmed with this oil, makes my face greasy","I have tried a few products by this line by Laloirelle. This Age Defy Face oil comes in a dark glass dropper bottle like a lot of facial oils do. It is not cheap at almost $100 to be honest. When you use this you will need about a drop for each side of your face, so a little does go a long way, but this is still not an inexpensive product so handle this as such.<br /><br />This particular one is filled with marula oil, rosehip oil, reishi mushroom, ginseng and cordyceps mushroom. This particular blend is supposed to help with wrinkles, acne scars and dry skin. When you use this you will notice this oil definitely has a fragrance to it that is reminiscent of an essential oil. They recommend to use it morning and night, however in my experience when you use this it does absorb fairly quickly. It does leave an oily residue on your skin though. If you wear makeup and especially right now with wearing masks, I would not recommend applying this facial oil in the morning. For a makeup application that could cause trouble and I found with facial oils I sweat heavily when wearing masks.<br /><br />It is definitely moisturizing and does work for dry skin however I did feel that my skin felt oily which is why I prefer using this in the evening. In the morning my skin felt nicely moisturized. Is this really worth the price? In my eyes not really since I have other moisturizers that do the same thing and cost a fraction of this oil while not making my face greasy."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B015A5DGG4,4,Work great for what they are meant for,"In today's age when you are restricted with how much liquids you can bring along on your travels on an airplane, it makes sense to fill these little refillable atomizer bottles with your favorite perfume to bring along so you can have them in your carry on luggage. Some times you don't even have a checked in luggage so this is important.<br /><br />I like that in this pack you get 5 different ones. You can dedicate each one to a different perfume so you can bring different ones on your travel. These work very well and you can bring enough on your travels for at least a week plus. They are easy to fill and use and work very well. These are on the cheaper side but for what they are intended these work perfectly well."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B083CXR5V8,4,Works well and has sun protection,"This lip balm is just ok in my eyes. It does work and softens your lips. I do like the fact that it has sun protection in it since melanoma is a serious problem in today's age. I would have hoped that with the ingredients of coconut and grape seed that it would have had a flavor of either one in it, but sadly it does not. It was fairly tasteless actually. Nowadays a lot of lip balms are flavored and to be honest that is one of the criteria why I pick certain lip balms.<br /><br />Yes this one works and its staying power is pretty good. It gets points for its sun blocking powers but I am deducting one for the lack of flavor, especially since I used other products from this line that definitely had the flavor/scent of grapes."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B07M9D3WYW,5,None drying face masks that smells amazing,"I have a few products by Higher Education and like the majority of them. This clay mask is fantastic. It comes in a squeeze tube which makes it easy to dispense how much of it you need. They tell you to apply it liberally to your clean skin. When you do that you will notice that fantastic fragrance this has which is great since you will have this on your face for 15 to 20 minutes or so.<br /><br />During that time it will dry out and harden. Once the time is up rinse it warm water. I prefer to do these masks before I go into the shower so I can just rinse them when I am in the shower, so much easier and less of a mess if you ask me.<br /><br />Once you are done you will notice that your skin eels actually nice and soft. A lot of these clay masks tend to dry up your skin but I was impressed that this one did not. It actually felt almost moisturized but I still followed it up with a nice moisturizer right after I was done like I always do.<br /><br />I have to say this clay mask is great. It smells fantastic, is nice and gentle and does not dry you out. There are not a lot of clay masks out there that I do like because most dry my skin out but this one is fantastic."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B07FQTCLNX,3,Made my face feel greasy,"I really wanted to like this facial serum. It comes in a little dropper bottle that is common for this kind of product. The serum is a prickly pear oil that is supposed to be very good for your face.<br /><br />When you use it you will first notice the fragrance of the oil. I am not sure if maybe my bottle went bad, but mine just smelled very bad, almost like oil that went rancid. I really didn’t like it at all and it makes it difficult using this product especially since that smell lingered for some time on top of it.<br /><br />The oil is on the lighter side, and even so it took a while to absorb and my skin felt greasy for some time. I would not recommend using this during the day. Especially when wearing a mask, using a facial oil that leaves an oily residue makes my face very hot and sweaty, just awful and this one would do exactly that. Sadly this one is just average at best and I will not be re-purchasing when I run out."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B07V1QTSQ1,5,Fantastic face mask,"This is a very nice sheet face mask. When you open the package the mask is loaded with the mask which is nice, but it is not dripping which you don’t want. You notice the fantastic fragrance of the mask, very strong of honey which I love. It is very smooth and smells incredible in my eyes.<br /><br />The material of the sheet is very nice and soft. I found it is a bit big however so it does take some adjustment to be honest to make it fit. I do prefer that over a mask being too small however. Make sure to clean your face prior to using it, just like the instructions say. You leave it on for 10 to 20 minutes and then remove it. Any residual serum is just gently massaged into the skin.<br /><br />I found that my skin loves this mask. It feels nice and soft, smooth and just looks nicely moisturized. It has a natural glow to it that says I did something good for it. It does feel a bit sticky for about 5 minutes right after, but that goes away and then you are left with soft and smooth skin. In this box, that btw is perfect as a gift as well, you get 10 masks for just $24, which I think is a very good price and allows you to do something good for your skin for some time."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B08DD6BFFM,4,Very nice toner,"This is a nice toner. It comes in a nice tall bottle. It doesn’t have some kind of dispensation mode, just a little whole that you pour the toner out from. It is easiest to use cotton pads to use this toner with so that seems to work the best.<br /><br />The toner has a mild but pleasant fragrance. That scent does not linger though. It seems that this toner is very mild. I have had no reactions to it. It felt moisturizing and did not dry out my skin. I do find this to be maybe a bit overpriced though to be honest at $31."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B07NPWK167,3,Just ok in my book,"This goat milk cleanser is very gentle. It almost felt like a lotion when I used it. So the description that it does NOT lather is 100% accurate. I was a bit confused by that to be honest so yes read the description. It works very well that is true. It was almost completely without scent, it may have had some very mild scent but I couldn't describe what it smelled like.<br /><br />To me it was weird to wash your face with something that felt more like a lotion than anything else. So this only gets an ok since it wasn't outstanding in any category really. I had no negative reactions to it and it is super gentle but that is about it."
"{""evidence"":{""negative_examples"":[""Patchy and not easy to blend... no mattes - not every day wear!"",""Beware, this is a product that is meant for nails with toe fungus..."",""Hair looked and felt bad""],""positive_examples"":[""Perfectly moisturized skin that smells heavenly of coconut"",""Gives you BEAUTIFUL eyelashes and is smudge proof!"",""Very nice eye shadow palette especially for this price""]},""preferences"":{""what_they_value"":[""product effectiveness"",""scent quality"",""texture consistency""],""liked_attributes"":[""coconut scent"",""smudge-proof formula"",""high pigmentation""],""common_complaints"":[""products not as described"",""poor application performance"",""unpleasant odors""],""disliked_attributes"":[""patchy application"",""chunky texture"",""misleading claims""],""liked_product_types"":[""body lotions"",""mascaras"",""eyeshadow palettes""],""disliked_product_types"":[""nail repair products"",""body washes"",""leave-in conditioners""]},""writing_style"":{""tone"":""conversational and opinionated"",""length"":""medium"",""formality"":""casual"",""detail_level"":""high"",""common_phrases"":[""I am sad to say"",""Now this is a... I can only recommend"",""I was not too impressed"",""This for me is a perfect...""],""vocabulary_markers"":[""disappointing"",""heavenly"",""wet eyelashes"",""chunky sequins""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.13,""rating_patterns"":""Gives 5-star ratings for products with clear benefits and sensory appeal, 1-2 stars for misleading claims or poor performance"",""rating_distribution"":{""1"":2,""2"":7,""3"":25,""4"":48,""5"":64}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AEZP6Z2C5AVQDZAJECQYZWQRNG3Q,B08MQWJZSG,5,Great gift set,"This is a fantastic pack of 12 face masks. You get 2 beauty boosters, 2 best self forward, 2 fresh start, 2 girl’s night in, 2 character face masks and 2 sit back & relax masks. Each has some different ingredients but you will find something that fits what your face is in need of from soothing and calming to helping with inflammation to moisturizing and more. The masks have mild yet pleasant fragrances. The masks themselves are soft and fit very well. This gift set is just $16 so just over a $1 a mask, a great deal really."
